,comments,CleanedText
285,"Its light weight and comfortable for my kids schooling, he likes it. Quality is good. I am saying this after 3months usage, am happy with the product...","Its light weight and comfortable for my kids schooling, he likes it. Quality is good. I am saying this after 3months usage, am happy with the product."
286,"Light weight,  spacious and value money for money...just amazing","Light weight,  spacious and value money for money. just amazing"
287,"Got two of this product at a very good discount price, so with discount this a very good option to go with bag. It's quality and stitching is really good, it will not tear easily, i have overloaded these bags many times during travel and it was very good and zips were also not gone.","Got two of this product at a very good discount price, so with discount this a very good option to go with bag. It's quality and stitching is really good, it will not tear easily, i have overloaded these bags many times during travel and it was very good and zips were also not gone."
288,Good one,Good one
289,हल्का और मजबूत,हल्का और मजबूत
290,Zippers some time stuck and easy to get dirty,Zippers some time stuck and easy to get dirty
291,Copy h. Kharb quality,Copy h. Kharb quality
292,Mera experience accha raha hai,Mera experience accha raha hai
293,Bag is nice. I am not started using it. Brought it for my sons school bag. Looks nice and very loght weight. I will provide the better review after using it..,Bag is nice. I am not started using it. Brought it for my sons school bag. Looks nice and very loght weight. I will provide the better review after using it.
294,"Value for money, good product","Value for money, good product"
295,Value for money bag. Good quality and nice look,Value for money bag. Good quality and nice look
296,Different style product,Different style product
297,it is very light weight and comfortable,it is very light weight and comfortable
298,Super,Super
299,ok ok item. quality is not upto the mark.ok upto for 800-900 price,ok ok item. quality is not upto the mark. ok upto for 800-900 price
300,Best qwal,Best qwal
301,"nice product , got it on sale and offer was good","nice product , got it on sale and offer was good"
302,"Poor quality, graphics is coming out. Not worth for money","Poor quality, graphics is coming out. Not worth for money"
303,It’s was delivered ahead of the scheduled time.. good piece of bag.,It’s was delivered ahead of the scheduled time. good piece of bag.
304,I like ap,I like ap
305,Perfect ❤️,Perfect ❤️
306,"The media could not be loaded.
                



 Spacious, three compartments, side pockets for bottles. Worth your money. Cloth quality is medium","The media could not be loaded.
                



 Spacious, three compartments, side pockets for bottles. Worth your money. Cloth quality is medium"
307,Nice,Nice
308,Chain,Chain
309,Value for money,Value for money
310,Nicee,Nicee
311,Very good to use good product is strong and perfect colour after Washing also is very smooth to use,Very good to use good product is strong and perfect colour after Washing also is very smooth to use
312,Product quality is not good,Product quality is not good
313,Nice,Nice
314,Fabulous,Fabulous
315,Could have better quality on the product,Could have better quality on the product
316,Good sturdy bag have been using it for the past few weeks so far so good.Yet to check the stitching strength..,Good sturdy bag have been using it for the past few weeks so far so good. Yet to check the stitching strength.
317,Good 👍👍,Good 👍👍
318,May be next timr,May be next timr
319,"the bag might look good but it won't last,the price is just for the brand tag","the bag might look good but it won't last,the price is just for the brand tag"
320,No Rain Cover as Displayed in Pictures.. You have to read entire description..,No Rain Cover as Displayed in Pictures. You have to read entire description.
321,This bag is very comfortable for Traveling and carry,This bag is very comfortable for Traveling and carry
322,A signature product by American tourister,A signature product by American tourister
323,I liked its colour combination and the spacious nature of the bag. I use it on an every day basis to come to school.,I liked its colour combination and the spacious nature of the bag. I use it on an every day basis to come to school.
324,"The Straps to carry the bag is not at all comfortable. ⅔ stroage are useful but that ⅓ remaining is completely useless. Print in the front is ok & the foam in the back is just for showing doesn't do any job. In a nutshell, First Copy Experience.","The Straps to carry the bag is not at all comfortable. ⅔ stroage are useful but that ⅓ remaining is completely useless. Print in the front is ok & the foam in the back is just for showing doesn't do any job. In a nutshell, First Copy Experience."
325,Nice,Nice
326,,
327,We r very happy with this oroduct,We r very happy with this oroduct
328,Ok,Ok
329,Gifted it to my sister. She loved it. Might buy one for myself,Gifted it to my sister. She loved it. Might buy one for myself
330,The backpack is very nice and exactly the same in the pictures given. It's size is ideal for students in senior classes(between medium & large).I returned it because I had to order something else urgently so I cannot say anything about the durability of this backpack.The bag looks sturdy though and it's American Tourister so you know it will last long.,The backpack is very nice and exactly the same in the pictures given. It's size is ideal for students in senior classes(between medium & large). I returned it because I had to order something else urgently so I cannot say anything about the durability of this backpack. The bag looks sturdy though and it's American Tourister so you know it will last long.
331,There is no rain cover with this bag..however its listed in the product image. This is quite fraudulent.,There is no rain cover with this bag. however its listed in the product image. This is quite fraudulent.
332,"It's light weight bag, simply good looking bag.","It's light weight bag, simply good looking bag."
333,Good,Good
334,Happy with product,Happy with product
335,"Good School Bag, quality is great","Good School Bag, quality is great"
